date,Sworn officers,Contact cards
2004,0,0
2005,0.05,59.01
2006,1.16,103.03
2007,2.2,120.31
2008,0.71,95.7
2009,-1.52,87.28
2010,-3.24,57.13
2011,-5.85,77.96
2012,-9.02,142.26
2013,-7.21,229.43
2014,-8.24,235.77
2015,-8.46,182.52
