label,amt
Jackalope Coffee in Bridgeport,34
Metropolis,33
Dark Matter,27
Cafe Jumping Bean,18
Wormhole,14
Gaslight Coffee Roasters,14
Perkolater,13
Bridgeport Coffee & Tea,13
Heritage General Store,13
Ipsento,12
Intelligentsia *,11
Big Shoulders *,10
