key,value
headline,Number of shootings including a child spiked in 2016
subhed,"In 2016, Chicago saw the largest number of shootings including a child in the past decade. Child shootings also made up a larger percentage of total shootings in 2016, jumping from 0.7 percent to 1.2 percent this past year."
footnote,"Figures are of number of shooting incidents where at least one child was killed or injured, not total number of children shot."
source,Chicago Police Department
credit,WBEZ
