date,Reading,Math,Science,English,Composite
2001,16.3,16.7,16.3,15,16.1
2002,16.6,16.7,16.4,15.4,16.3
2003,16.7,16.6,16.8,15.3,16.4
2004,16.9,16.8,17.5,15.9,16.8
2005,17.3,16.9,17.3,16.4,17
2006,16.9,17.1,17.2,16.7,17
2007,16.9,17.4,17.5,16.8,17.1
2008,17,17.3,17.7,16.6,17.2
2009,17.1,17.2,17.3,16.2,17
2010,17.3,17.7,17.6,16.8,17.3
2011,17,17.7,17.6,16.4,17.2
2012,16.9,18.1,18.1,17.2,17.6
2013,17.6,18.2,17.8,16.9,17.6
2014,17.9,18.3,18.1,17.5,18
