Data_Value,TractFIPS
14.4,17031491300
14.9,17031491400
14.3,17031500100
15.0,17031500200
18.2,17031500300
17.5,17031510100
15.7,17031510200
12.8,17031510300
18.7,17031520100
18.3,17031520200
20.0,17031520300
19.5,17031520400
20.6,17031520500
18.2,17031520600
16.0,17031530100
12.7,17031530200
13.5,17031530300
15.9,17031530400
13.9,17031530501
14.8,17031530502
14.1,17031530503
13.9,17031530600
13.1,17031540101
11.5,17031540102
19.1,17031550100
20.1,17031550200
16.3,17031560100
14.7,17031560200
20.7,17031560300
20.5,17031560400
22.1,17031560700
22.5,17031560800
21.8,17031560900
21.2,17031561000
22.1,17031561100
22.9,17031570100
20.7,17031570200
21.2,17031570300
22.4,17031570400
21.8,17031570500
17.9,17031580100
18.8,17031580200
19.1,17031580300
19.0,17031580400
20.1,17031580501
20.0,17031580502
18.5,17031580600
19.2,17031580700
19.8,17031580800
19.2,17031590500
20.0,17031590600
19.9,17031590700
14.0,17031600400
16.7,17031600600
16.8,17031600700
19.9,17031600900
20.0,17031610300
18.0,17031610400
23.0,17031610800
14.1,17031611000
17.3,17031611100
17.4,17031611200
19.6,17031611300
18.7,17031611400
17.9,17031611500
15.7,17031611600
16.9,17031611700
13.9,17031611800
15.6,17031611900
13.8,17031612000
14.4,17031612100
20.3,17031620100
22.0,17031620200
21.2,17031620300
21.5,17031620400
17.9,17031630100
19.9,17031630200
20.2,17031630300
19.7,17031630400
19.6,17031630500
19.9,17031630800
20.0,17031630900
22.9,17031640100
23.2,17031640300
22.4,17031640400
22.8,17031640500
20.7,17031640600
22.0,17031640700
22.0,17031640800
21.6,17031650100
21.7,17031650200
22.2,17031650301
21.8,17031650302
20.0,17031650400
19.1,17031650500
17.1,17031660301
20.1,17031660302
20.3,17031660400
19.2,17031660500
17.4,17031660600
14.4,17031660700
17.0,17031660800
14.8,17031660900
15.5,17031661000
19.0,17031661100
14.2,17031670100
13.6,17031670200
14.0,17031670300
14.2,17031670400
15.1,17031670500
14.0,17031670600
13.1,17031670700
12.8,17031670800
15.1,17031670900
12.6,17031671100
12.6,17031671200
13.8,17031671300
14.8,17031671400
12.6,17031671500
13.2,17031671600
12.9,17031671800
14.0,17031671900
14.7,17031672000
12.5,17031680500
13.0,17031680600
12.3,17031680900
13.0,17031681000
13.2,17031681100
13.9,17031681200
13.2,17031681300
13.0,17031681400
11.7,17031690300
13.9,17031690400
14.1,17031690500
13.9,17031690900
14.1,17031691000
13.3,17031691100
14.3,17031691200
14.1,17031691300
14.4,17031691400
12.2,17031691500
18.7,17031700100
20.7,17031700200
20.8,17031700301
20.7,17031700302
20.5,17031700401
19.5,17031700402
17.7,17031700501
15.8,17031700502
13.3,17031710100
12.7,17031710200
13.0,17031710300
14.1,17031710400
13.6,17031710500
13.8,17031710600
14.5,17031710700
15.6,17031710800
12.9,17031710900
13.7,17031711000
13.3,17031711100
13.2,17031711200
13.8,17031711300
12.8,17031711400
13.6,17031711500
19.6,17031720100
19.0,17031720200
21.0,17031720300
25.0,17031720400
24.4,17031720500
21.8,17031720600
19.3,17031720700
13.3,17031730100
14.0,17031730201
13.5,17031730202
15.3,17031730300
13.7,17031730400
15.0,17031730500
14.6,17031730600
14.2,17031730700
25.4,17031740100
24.6,17031740200
25.8,17031740300
24.4,17031740400
14.0,17031750100
17.8,17031750200
23.6,17031750300
22.5,17031750400
14.6,17031750500
13.8,17031750600
22.8,17031760801
17.0,17031760802
21.7,17031760803
,17031770602
30.2,17031770902
21.3,17031810400
,17031821402
,17031823304
21.0,17031830500
22.0,17031830600
20.7,17031830700
28.6,17031830800
27.1,17031830900
31.2,17031831000
22.1,17031831100
20.2,17031831200
17.6,17031831300
15.8,17031831400
22.1,17031831500
19.7,17031831600
22.0,17031831700
21.0,17031831800
31.3,17031831900
31.5,17031832000
28.3,17031832100
30.0,17031832200
29.5,17031832300
26.3,17031832400
25.2,17031832500
30.1,17031832600
23.7,17031832900
27.9,17031833000
26.7,17031833100
21.3,17031833300
15.4,17031833900
13.9,17031834000
14.0,17031834200
14.1,17031834300
15.5,17031834400
14.3,17031834500
12.6,17031834600
12.5,17031834700
13.0,17031834800
12.2,17031834900
15.6,17031835000
18.9,17031835100
20.7,17031835200
12.7,17031835500
13.7,17031835600
16.4,17031835800
12.9,17031835900
16.4,17031836000
16.4,17031836100
29.5,17031836200
19.9,17031836300
14.8,17031836400
14.0,17031836500
19.4,17031836600
15.2,17031836700
13.5,17031836800
15.4,17031836900
14.5,17031837000
15.1,17031837100
16.3,17031837300
16.0,17031837400
19.4,17031837800
14.3,17031838000
15.9,17031838100
22.1,17031838200
18.9,17031838300
14.3,17031838600
13.6,17031838700
15.1,17031838800
26.2,17031839000
27.9,17031839100
15.0,17031839200
13.0,17031839500
12.7,17031839600
19.6,17031839700
19.9,17031839800
22.7,17031839900
19.5,17031840000
13.9,17031840100
14.7,17031840200
18.6,17031840300
16.4,17031840400
19.4,17031840700
19.7,17031840800
17.0,17031841000
8.8,17031841100
19.4,17031841200
19.6,17031841300
14.2,17031841400
13.6,17031841500
13.2,17031841600
12.3,17031841700
14.9,17031841800
26.3,17031841900
24.4,17031842000
16.5,17031842100
23.5,17031842200
25.8,17031842300
13.5,17031842400
12.5,17031842500
20.1,17031842600
20.4,17031842800
13.7,17031842900
12.5,17031843000
14.3,17031843100
20.8,17031843200
15.9,17031843300
15.2,17031843400
23.6,17031843500
14.3,17031843600
25.4,17031843700
15.2,17031843800
13.6,17031843900
