County,ratio_2010,ratio_2016,diff_2010,diff_2016,fipscode
ADAMS,0.292382310984,0.68213590008,-0.525778003901,-0.181615817729,17001
ALEXANDER,1.1518235793,1.34790365745,0.0664192949907,0.14322438487,17003
BOND,0.556383970177,0.834462982273,-0.263225806452,-0.0853609356096,17005
BOONE,0.488204673829,0.678322797471,-0.312991059334,-0.178539705099,17007
BROWN,0.36428065202,0.57906295754,-0.434382566586,-0.255215268531,17009
BUREAU,0.560923242083,0.810338680927,-0.261425375519,-0.0986585893553,17011
CALHOUN,0.821929824561,1.12666076174,-0.0914414414414,0.0578011317704,17013
CARROLL,0.433130699088,0.590386384545,-0.364186682289,-0.243772241993,17015
CASS,0.516268980477,0.615991763898,-0.2929584866,-0.223264166002,17017
CHAMPAIGN,0.689096551959,1.17728747567,-0.171750475724,0.0767131288399,17019
CHRISTIAN,0.570842760181,0.523071958696,-0.24763381201,-0.292731233908,17021
CLARK,0.396363636364,0.48332996565,-0.412183413342,-0.330831931686,17023
CLAY,0.363943488943,0.48998973306,-0.437473595268,-0.326809210526,17025
CLINTON,0.390119447988,0.639254385965,-0.416060126582,-0.211155843398,17027
COLES,0.41385398276,0.559400230681,-0.383554196398,-0.264247326132,17029
COOK,2.03323990055,2.79310440983,0.326847976138,0.450452055226,17031
CRAWFORD,0.356054191363,0.491007868115,-0.448077772868,-0.323799308783,17033
CUMBERLAND,0.323731138546,0.350395778364,-0.467852906287,-0.448451730419,17035
DEKALB,0.690948079797,1.01725392371,-0.167376385712,0.00787102892366,17037
DEWITT,0.357689264046,0.388044782087,-0.432120674357,-0.410541845494,17039
DOUGLAS,0.273140138408,0.351805505899,-0.531551478728,-0.449931753319,17041
DUPAGE,0.649452326468,1.07104891091,-0.201581887598,0.0324438597684,17043
EDGAR,0.354117897425,0.380943360485,-0.449696251296,-0.423975090815,17045
