date,Charter or contract,Traditional CPS Schools,Total CPS
1999,5535,426215,431750
2000,6733,428737,435470
2001,6084,431534,437618
2002,8844,429745,438589
2003,10493,423926,434419
2004,12274,414538,426812
2005,15416,405509,420925
2006,19043,394651,413694
2007,23733,384868,408601
2008,32016,376028,408044
2009,36699,372580,409279
2010,42801,359880,402681
2011,48389,355762,404151
2012,52926,350535,403461
2013,57169,343376,400545
2014,60065,336618,396683
